,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
172,37998,Parengyodontium_album,Parengyodontium_album|37998,Parengyodontium_album|37998,NA,NA,NA,NA,NA,NA
173,38275,Euglena_mutabilis,Euglena_mutabilis|38275,Euglena_mutabilis|38275,NA,NA,NA,NA,NA,NA
174,38799,Neolentinus_lepideus,Neolentinus_lepideus|38799,Neolentinus_lepideus|38799,NA,NA,NA,NA,NA,NA
175,38806,Polyporus_tuberaster,Polyporus_tuberaster|38806,Polyporus_tuberaster|38806,NA,NA,NA,NA,NA,NA
176,39416,Tuber_melanosporum,Tuber_melanosporum|39416,Tuber_melanosporum|39416,NA,NA,NA,NA,NA,NA
177,39486,Dorea_formicigenerans,Dorea_formicigenerans|39486,Dorea_formicigenerans|39486,NA,NA,NA,NA,NA,NA
178,39777,Veillonella_atypica,Veillonella_atypica|39777,Veillonella_atypica|39777,NA,NA,NA,NA,NA,NA
179,39778,Veillonella_dispar,Veillonella_dispar|39778,Veillonella_dispar|39778,NA,NA,NA,NA,NA,NA
180,39845,Actinokineospora,Actinokineospora|39845,Actinokineospora|39845,NA,NA,NA,NA,NA,NA
181,40001,Cellulomonas_sp.,Cellulomonas_sp.|40001,Cellulomonas_sp.|40001,NA,NA,NA,NA,NA,NA
182,40145,Tricholoma_matsutake,Tricholoma_matsutake|40145,Tricholoma_matsutake|40145,NA,NA,NA,NA,NA,NA
183,40199,Fusarium_avenaceum,Fusarium_avenaceum|40199,Fusarium_avenaceum|40199,NA,NA,NA,NA,NA,NA
184,40324,Stenotrophomonas_maltophilia,Stenotrophomonas_maltophilia|40324,Stenotrophomonas_maltophilia|40324,NA,NA,NA,NA,NA,NA
185,40380,Aspergillus_ochraceus,Aspergillus_ochraceus|40380,Aspergillus_ochraceus|40380,NA,NA,NA,NA,NA,NA
186,40431,Cryptoporus_volvatus,Cryptoporus_volvatus|40431,Cryptoporus_volvatus|40431,NA,NA,NA,NA,NA,NA
187,40433,Daedaleopsis_confragosa,Daedaleopsis_confragosa|40433,Daedaleopsis_confragosa|40433,NA,NA,NA,NA,NA,NA
